City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,sinnersdorf,51.0244,6.8179,16.72,81,99,4.15,DE,1712636456
215,avarua,-21.2078,-159.775,27.03,83,75,5.14,CK,1712636456
216,saint-philippe,-21.3585,55.7679,25.77,75,67,1.98,RE,1712636457
217,uturoa,-16.7333,-151.4333,28.52,81,93,5.45,PF,1712636457
218,zouerate,22.7187,-12.4521,15.85,67,2,7.05,MR,1712636457
219,gereshk,31.8209,64.5701,26.21,12,8,2.48,AF,1712636457
220,borujen,31.9652,51.2873,12.15,41,77,0.59,IR,1712636457
221,sidi bou ali,35.9567,10.4731,15.84,76,0,0.0,TN,1712636458
222,bucerias,20.75,-105.3333,22.21,88,0,1.54,MX,1712636350
223,vorgashor,67.5833,63.95,-20.81,99,100,1.55,RU,1712636458
224,thunder bay,48.4001,-89.3168,2.95,100,100,2.57,CA,1712636066
225,kerrville,30.0474,-99.1403,22.53,91,100,4.12,US,1712636458
226,pimenta bueno,-11.6725,-61.1936,23.17,98,100,1.13,BR,1712636459
227,uige,-7.6087,15.0613,20.35,99,100,0.31,AO,1712636459
228,sunchales,-30.944,-61.5615,16.71,93,0,2.18,AR,1712636442
229,alice springs,-23.7,133.8833,24.01,30,18,6.17,AU,1712636459
230,fortuna,40.5982,-124.1573,11.19,94,100,6.17,US,1712636218
231,neyshabur,36.2133,58.7958,15.4,33,15,0.28,IR,1712636460
232,contamana,-7.3333,-75.0167,23.62,98,100,1.12,PE,1712636460
233,kiskunhalas,46.434,19.4848,10.9,64,87,4.11,HU,1712636460
234,namibe,-15.1961,12.1522,21.56,80,100,1.69,AO,1712636460
235,kulhudhuffushi,6.6221,73.07,28.87,74,58,2.5,MV,1712636461
236,sterlibashevo,53.4376,55.2578,8.43,95,95,5.34,RU,1712636461
237,al jawf,29.5,38.75,16.19,54,0,4.58,SA,1712636461
238,vilyuchinsk,52.9306,158.4028,4.15,100,100,1.75,RU,1712636461
239,kloulklubed,7.0419,134.2556,31.28,71,39,5.79,PW,1712636462
240,atbasar,51.8,68.3333,4.27,90,100,3.81,KZ,1712636462
241,eyl,7.9803,49.8164,28.16,65,99,4.08,SO,1712636462
242,kashgar,39.4547,75.9797,17.56,16,0,2.0,CN,1712636462
243,flying fish cove,-10.4217,105.6791,28.82,74,40,4.63,CX,1712636462
244,poxoreo,-15.8372,-54.3892,24.0,94,100,1.68,BR,1712636248
245,dacice,49.0815,15.4373,13.57,75,50,4.21,CZ,1712636463
246,touros,-5.1989,-35.4608,25.09,91,99,1.56,BR,1712636463
247,isafjordur,66.0755,-23.124,-4.57,89,100,6.71,IS,1712636463
248,iwanai,42.9744,140.5089,2.44,67,100,4.0,JP,1712636464
249,yatou,37.15,122.3833,13.54,25,33,5.19,CN,1712636464
250,verkhnevilyuysk,63.4453,120.3167,-3.84,78,27,1.85,RU,1712636464
251,sipalay,9.75,122.5,35.64,37,96,1.86,PH,1712636465
252,san pedro pochutla,15.7333,-96.4667,25.48,69,0,1.11,MX,1712636465
253,pingdingshan,33.7385,113.3012,22.55,37,77,3.74,CN,1712636465
254,kurskaya,44.05,44.45,8.75,61,78,3.53,RU,1712636443
255,mariental,-24.6333,17.9667,12.51,65,0,3.43,NA,1712636466
256,bata,1.8639,9.7658,25.92,94,40,1.03,GQ,1712636466
257,port mathurin,-19.6833,63.4167,26.64,77,49,3.28,MU,1712636466
258,vadso,70.0744,29.7487,-1.91,93,75,2.57,NO,1712636466
259,okhotsk,59.3833,143.3,-0.96,80,18,2.23,RU,1712636467
260,ust'-ilimsk,58.0006,102.6619,-1.42,71,21,2.68,RU,1712636467
261,kodiak,57.79,-152.4072,-1.27,55,100,8.23,US,1712636467
262,antsiranana,-12.2787,49.2917,26.42,78,20,3.09,MG,1712636467
263,nagqu,31.5,92.0,2.47,20,100,4.38,CN,1712636467
264,santa sylvina,-27.8326,-61.1375,22.81,89,0,2.18,AR,1712636468
265,san luis,-33.295,-66.3356,16.94,60,3,0.88,AR,1712636380
266,dunedin,-45.8742,170.5036,17.11,69,100,0.45,NZ,1712636468
267,kidal,18.4411,1.4078,27.06,9,29,1.55,ML,1712636468
268,kalat,29.0225,66.5916,18.16,20,100,1.14,PK,1712636469
269,aegina,37.7467,23.4275,17.17,59,0,9.44,GR,1712636410
270,bugarama,-2.8706,30.5281,15.23,96,100,0.62,TZ,1712636469
271,aswan,24.0934,32.907,21.41,25,0,3.38,EG,1712636469
